ControlName,ColumnName
tbGOEntry,entry
cbGOType,type
tbGODisplay,displayid
tbGOName,name
tbGOIconName,iconname
tbGOCastBar,castbarcaption
tbGOUnk1,unk1
tbGOFaction,faction
tbGOFlags,flags
tbGOSize,size
tbGOItem1,questitem1
tbGOItem2,questitem2
tbGOItem3,questitem3
tbGOItem4,questitem4
tbGOItem5,questitem5
tbGOItem6,questitem6
tbGOData0,data0
tbGOData1,data1
tbGOData2,data2
tbGOData3,data3
tbGOData4,data4
tbGOData5,data5
tbGOData6,data6
tbGOData7,data7
tbGOData8,data8
tbGOData9,data9
tbGOData10,data10
tbGOData11,data11
tbGOData12,data12
tbGOData13,data13
tbGOData14,data14
tbGOData15,data15
tbGOData16,data16
tbGOData17,data17
tbGOData18,data18
tbGOData19,data19
tbGOData20,data20
tbGOData21,data21
tbGOData22,data22
tbGOData23,data23
tbGOData24,data24
tbGOData25,data25
tbGOData26,data26
tbGOData27,data27
tbGOData28,data28
tbGOData29,data29
tbGOData30,data30
tbGOData31,data31
tbGOUnk2,unk2
tbGOAIName,AIName
tbGOScriptName,scriptname
tbGOWDB,wdbverified
