ControlName,ColumnName
tbItemEntry,entry
cbItemClass,class
cbItemSubClass,subclass
tbItemUnk0,unk0
tbItemName,name
tbItemDisplay,displayid
cbItemQuality,Quality
tbItemFlags,Flags
tbItemFlagsExtra,FlagsExtra
tbItemBuycount,BuyCount
tbItemBuyPrice,BuyPrice
tbItemSellPrice,SellPrice
cbItemType,InventoryType
tbItemAllowableClass,AllowableClass
tbItemAllowableRace,AllowableRace
tbItemLevel,ItemLevel
tbItemReqLevel,RequiredLevel
tbItemReqSkill,RequiredSkill
tbItemReqSkillRank,RequiredSkillRank
tbItemReqSpell,requiredspell
tbItemReqHonorRank,requiredhonorrank
tbItemReqCityRank,RequiredCityRank
tbItemReputationFact,RequiredReputationFaction
cbItemReputationRank,RequiredReputationRank
tbItemMaxCount,maxcount
tbItemStackable,stackable
tbItemContainer,ContainerSlots
tbItemStatsCount,StatsCount
tbItemStatType1,stat_type1
tbItemStatValue1,stat_value1
tbItemStatType2,stat_type2
tbItemStatValue2,stat_value2
tbItemStatType3,stat_type3
tbItemStatValue3,stat_value3
tbItemStatType4,stat_type4
tbItemStatValue4,stat_value4
tbItemStatType5,stat_type5
tbItemStatValue5,stat_value5
tbItemStatType6,stat_type6
tbItemStatValue6,stat_value6
tbItemStatType7,stat_type7
tbItemStatValue7,stat_value7
tbItemStatType8,stat_type8
tbItemStatValue8,stat_value8
tbItemStatType9,stat_type9
tbItemStatValue9,stat_value9
tbItemStatType10,stat_type10
tbItemStatValue10,stat_value10
tbItemScalingStatDist,ScalingStatDistribution
tbItemScalingStatValue,ScalingStatValue
tbItemDmgMin1,dmg_min1
tbItemDmgMax1,dmg_max1
cbItemDmgType1,dmg_type1
tbItemDmgMin2,dmg_min2
tbItemDmgMax2,dmg_max2
cbItemDmgType2,dmg_type2
tbItemArmor,armor
tbItemHoly,holy_res
tbItemFire,fire_res
tbItemNature,nature_res
tbItemFrost,frost_res
tbItemShadow,shadow_res
tbItemArcane,arcane_res
None,damageType
tbItemDelay,delay
tbItemAmmoType,ammo_type
tbItemRangedMod,RangedModRange
tbItemSpellId1,spellid_1
tbItemTrigger1,spelltrigger_1
tbItemCharges1,spellcharges_1
tbItemRate1,spellppmRate_1
tbItemCooldown1,spellcooldown_1
tbItemCategory1,spellcategory_1
tbItemCategoryCooldown1,spellcategorycooldown_1
tbItemSpellId2,spellid_2
tbItemTrigger2,spelltrigger_2
tbItemCharges2,spellcharges_2
tbItemRate2,spellppmRate_2
tbItemCooldown2,spellcooldown_2
tbItemCategory2,spellcategory_2
tbItemCategoryCooldown2,spellcategorycooldown_2
tbItemSpellId3,spellid_3
tbItemTrigger3,spelltrigger_3
tbItemCharges3,spellcharges_3
tbItemRate3,spellppmRate_3
tbItemCooldown3,spellcooldown_3
tbItemCategory3,spellcategory_3
tbItemCategoryCooldown3,spellcategorycooldown_3
tbItemSpellId4,spellid_4
tbItemTrigger4,spelltrigger_4
tbItemCharges4,spellcharges_4
tbItemRate4,spellppmRate_4
tbItemCooldown4,spellcooldown_4
tbItemCategory4,spellcategory_4
tbItemCategoryCooldown4,spellcategorycooldown_4
tbItemSpellId5,spellid_5
tbItemTrigger5,spelltrigger_5
tbItemCharges5,spellcharges_5
tbItemRate5,spellppmRate_5
tbItemCooldown5,spellcooldown_5
tbItemCategory5,spellcategory_5
tbItemCategoryCooldown5,spellcategorycooldown_5
cbItemBonding,bonding
tbItemDescription,description
tbItemPageText,PageText
tbItemLanguageId,LanguageID
cbItemPageMaterial,PageMaterial
tbItemStartquest,startquest
tbItemLockId,lockid
tbItemMaterial,Material
cbItemSheath,sheath
tbItemRandomProperty,RandomProperty
tbItemRandomSuffix,RandomSuffix
tbItemBlock,block
tbItemset,itemset
tbItemDurability,MaxDurability
tbItemArea,area
tbItemMap,Map
tbItemBagFamily,BagFamily
tbItemTotemCategory,TotemCategory
cbItemColor1,socketColor_1
tbItemContent1,socketContent_1
cbItemColor2,socketColor_2
tbItemContent2,socketContent_2
cbItemColor3,socketColor_3
tbItemContent3,socketContent_3
tbItemBonus,socketBonus
tbItemGem,GemProperties
tbItemDisenchant,RequiredDisenchantSkill
tbItemArmorDmg,ArmorDamageModifier
tbItemDuration,Duration
tbItemLimit,ItemLimitCategory
tbItemHolidayId,HolidayId
tbItemScriptName,ScriptName
tbItemDisenchantId,DisenchantID
cbItemFoodType,FoodType
tbItemMinMoney,minMoneyLoot
tbItemMaxMoney,maxMoneyLoot
tbItemWDB,WDBVerified
