ControlName,ColumnName
tbQuestEntry,Entry
tbQuestMethod,Method
cbQuestZoneOrSort,ZoneOrSort
tbQuestSkillOrClass,SkillOrClassMask
nudQuestMinLevel,MinLevel
nudQuestMaxLevel,MaxLevel
nudQuestLevel,QuestLevel
cbQuestType,Type
tbQuestReqRaces,RequiredRaces
tbQuestReqSkillValue,RequiredSkillValue
tbQuestReqObjFact1,RepObjectiveFaction
tbQuestReqObjValue1,RepObjectiveValue
tbQuestReqObjFact2,RepObjectiveFaction2
tbQuestReqObjValue2,RepObjectiveValue2
tbQuestReqMinRep,RequiredMinRepFaction
tbQuestReqMinRepValue,RequiredMinRepValue
tbQuestReqMaxRep,RequiredMaxRepFaction
tbQuestReqMaxRepValue,RequiredMaxRepValue
tbQuestSuggestedPlayers,SuggestedPlayers
tbQuestLimitTime,LimitTime
tbQuestFlags,QuestFlags
tbQuestSpecialFlags,SpecialFlags
tbQuestCharTitleId,CharTitleId
tbQuestPlayersSlain,PlayersSlain
tbQuestBonusTalents,BonusTalents
tbQuestRewArenaPoint,RewardArenaPoints
tbQuestPrevId,PrevQuestId
tbQuestNextId,NextQuestId
tbQuestExclusiveGroup,ExclusiveGroup
tbQuestNextChain,NextQuestInChain
tbQuestRewXp,RewXPId
tbQuestSrcItemId,SrcItemId
tbQuestSrcItemCount,SrcItemCount
tbQuestSrcSpell,SrcSpell
tbQuestTitle,Title
tbQuestDetails,Details
tbQuestObjectives,Objectives
tbQuestOfferReward,OfferRewardText
tbQuestRequestItems,RequestItemsText
tbQuestEndText,EndText
tbQuestCompletedText,CompletedText
tbQuestObjectiveText1,ObjectiveText1
tbQuestObjectiveText2,ObjectiveText2
tbQuestObjectiveText3,ObjectiveText3
tbQuestObjectiveText4,Objectivetext4
tbQuestReqItemId1,ReqItemId1
tbQuestReqItemId2,ReqItemId2
tbQuestReqItemId3,ReqItemId3
tbQuestReqItemId4,ReqItemId4
tbQuestReqItemId5,ReqItemId5
tbQuestReqItemId6,ReqItemId6
tbQuestReqItemCount1,ReqItemcount1
tbQuestReqItemCount2,ReqItemCount2
tbQuestReqItemCount3,ReqItemCount3
tbQuestReqItemCount4,ReqItemCount4
tbQuestReqItemCount5,ReqItemCount5
tbQuestReqItemCount6,ReqItemCount6
