ControlName,ColumnName
tbSmartentryorguid,entryorguid
cbSmartSource_Type,source_type
tbSmartId,id
tbSmartLink,link
tbSmartEvent_Type,event_type
tbSmartEvent_Phase_Mask,event_phase_mask
tbSmartEvent_Chance,event_chance
tbSmartEvent_Flags,event_flags
tbSmartEvent_Param1,event_param1
tbSmartEvent_Param2,event_param2
tbSmartEvent_Param3,event_param3
tbSmartEvent_Param4,event_param4
tbSmartAction_Type,action_type
tbSmartAction_Param1,action_param1
tbSmartAction_Param2,action_param2
tbSmartAction_Param3,action_param3
tbSmartAction_Param4,action_param4
tbSmartAction_Param5,action_param5
tbSmartAction_Param6,action_param6
tbSmartTarget_Type,target_type
tbSmartTarget_param1,target_param1
tbSmartTarget_param2,target_param2
tbSmartTarget_param3,target_param3
tbSmartTarget_x,target_x
tbSmartTarget_y,target_y
tbSmartTarget_z,target_z
tbSmartTarget_o,target_o
tbSmartComment,comment
